School Year,System Id,System Name,AJC_ATL_metro_ID,School Id,School Name,Grade Configuration,Grade Cluster,CCRPI Score,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points
2012,761,Atlanta Public Schools,Y,0207,Hillside Conant School,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,NA,NA,NA,NA,NA,NA,NA
2012,761,Atlanta Public Schools,Y,0207,Hillside Conant School,"01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,NA,NA,NA,NA,NA,NA,NA
2012,761,Atlanta Public Schools,Y,2062,Hope Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,61.1,46.1,8.5,6,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,5562,Humphries Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,54.9,38.3,9,5.3,1,1.3,2.3
2012,761,Atlanta Public Schools,Y,1063,Hutchinson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,47.9,34.3,6.8,5.3,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,1208,Imagine Wesley International Academy Charter Facility,"KK, 01, 02, 03, 04, 05, 06, 07, 08",E,80.5,55,11.1,12,0,2.4,2.4
2012,761,Atlanta Public Schools,Y,1208,Imagine Wesley International Academy Charter Facility,"KK, 01, 02, 03, 04, 05, 06, 07, 08",M,71.1,44.8,9.5,12.8,0,4,4
2012,761,Atlanta Public Schools,Y,1563,Inman Middle School,"06, 07, 08",M,97,66.6,10.9,15,1,3.5,4.5
2012,761,Atlanta Public Schools,Y,0124,Intown Charter Academy,"KK, 01, 02, 03, 04, 05, 06, 07",M,68.9,47.1,8.5,NA,0,3.5,3.5
2012,761,Atlanta Public Schools,Y,0124,Intown Charter Academy,"KK, 01, 02, 03, 04, 05, 06, 07",E,57.1,39.9,8.9,8.3,0,0,0
2012,761,Atlanta Public Schools,Y,2563,Jackson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,96.9,67.4,11.1,15,2,1.4,3.4
2012,761,Atlanta Public Schools,Y,5563,Kennedy Middle School,"PK, 06, 07, 08",M,69.4,47.9,8.1,9,0.5,3.9,4.4
2012,761,Atlanta Public Schools,Y,1064,Kimberly Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,54.7,38.8,7.4,7.5,1,0,1
